category,txn_type,total_amount
Corporation for Public Broadcasting,Withdrawals,587.0
DHS - Customs & Border Protection (CBP),Withdrawals,134947.0
"DHS - Customs Duties, Taxes, and Fees",Deposits,244670.0
DHS - Customs and Certain Excise Taxes,Deposits,251518.0
DHS - Fed Emergency Mgmt Agency (FEMA),Deposits,7876.0
DHS - Fed Emergency Mgmt Agency (FEMA),Withdrawals,81089.0
DHS - Seized Assets,Deposits,1887.0
DHS - Transportation Security Admn (TSA),Deposits,8924.0
DHS - Transportation Security Admn (TSA),Withdrawals,4735.0
DOI - Fish and Wildlife and Parks,Deposits,1742.0
DOI - Fish and Wildlife and Parks,Withdrawals,10211.0
DOI - Gas and Oil Lease Sales Proceeds,Deposits,28565.0
DOI - Land and Minerals Management,Deposits,6913.0
DOI - Land and Minerals Management,Withdrawals,5381.0
DOI - Water and Science,Deposits,1536.0
DOI - Water and Science,Withdrawals,7185.0
DOL - Pension Benefit Guaranty Corp.,Deposits,20611.0
DOL - Pension Benefit Guaranty Corp.,Withdrawals,22755.0
DOL - Unemployment Benefits,Withdrawals,74021.0
DOT - Federal Aviation Administration,Withdrawals,25851.0
DOT - Federal Highway Administration,Withdrawals,125026.0
DOT - Federal Railroad Administration,Withdrawals,14115.0
DOT - Federal Transit Administration,Withdrawals,42355.0
Dept of Agriculture (USDA) - misc,Deposits,7928.0
Dept of Agriculture (USDA) - misc,Withdrawals,53029.0
Dept of Commerce (DOC),Deposits,10844.0
Dept of Commerce (DOC),Withdrawals,32915.0
Dept of Defense (DoD) - misc,Deposits,36820.0
Dept of Defense (DoD) - misc,Withdrawals,893159.0
Dept of Education (ED),Deposits,121786.0
Dept of Education (ED),Withdrawals,363470.0
Dept of Energy (DOE),Deposits,18012.0
Dept of Energy (DOE),Withdrawals,114817.0
Dept of Health & Human Serv (HHS) - misc,Deposits,13854.0
Dept of Health & Human Serv (HHS) - misc,Withdrawals,15841.0
Dept of Homeland Security (DHS) - misc,Deposits,16536.0
Dept of Homeland Security (DHS) - misc,Withdrawals,42837.0
Dept of Housing & Urban Dev (HUD) - misc,Deposits,11225.0
Dept of Housing & Urban Dev (HUD) - misc,Withdrawals,162597.0
Dept of Interior (DOI) - misc,Deposits,2518.0
Dept of Interior (DOI) - misc,Withdrawals,31829.0
Dept of Justice (DOJ),Deposits,22929.0
Dept of Justice (DOJ),Withdrawals,46041.0
Dept of Labor (DOL) - misc,Deposits,1148.0
